location,lat,lon,dist_to_school_km,dist_to_hospital_km,dist_to_transit_km
Chikkakannalli,12.893703,77.7081315,1.6966612682961897,1.8573360086186486,0.7784680658219263
Chikkalasandra,12.9121916,77.5476337,0.4139509772357904,0.2664041276046013,0.2722963169900159
Chikkanahalli,12.9058433,77.6202731,0.1536657269875274,0.42811353818164605,0.8391122270851327
Chikkasandra,13.0963679,77.7047925,,,1.1867243672248435
Chikkathoguru,12.8638459,77.653398,0.30278557861683536,0.6370770278721285,0.4737820476449016
Chikku Lakshmaiah Layout,12.9350706,77.6116041,0.5159776236106293,0.3170018391450538,0.02699866279019812
Chinnapanahalli,12.9661219,77.7071156,0.5256639772243925,0.49680930542908697,0.6358671332305671
Chokkanahalli,13.0850788,77.6263539,1.8047573486416404,0.9336036319256643,0.0860536578966036
Chokkasandra,13.0405342,77.5112239,1.7338057013569392,0.3355798387812403,0.3128755577447628
Cholanayakanahalli,13.0364498,77.5975272,0.4207851795189184,0.6466700111719517,0.038637591966918704
Choodasandra,12.8883623,77.6799727,1.5600270829015552,0.7378715149880812,0.7606480703530835
Chowdeshwari Layout,13.0613342,77.6420881,0.5253839127833032,0.20849250058452523,0.1256080450301282
Church Street,12.9746938,77.6525547,0.137259621420324,0.09740275532318257,0.3012745467086757
Classic Paradise Layout,12.8718404,77.6442373,0.5677536474609888,0.22047280210571932,0.6802489074164018
Cleveland Town,12.9940417,77.6116055,0.19117731420364292,0.178618429806517,0.193034351900823
Coconut Garden,12.9610387,77.5190523,0.3353714550906516,0.26087300166533434,0.12723212689752092
Coffee Board Layout,13.0503251,77.6060803,0.2732342094256822,0.32404292126884665,0.23864923205209884
Cooke Town,13.0021998,77.6251814,0.5773875959324263,0.23086525439265188,0.5154163752922875
Cottonpet,12.9680234,77.567984,0.19263245718236705,0.14756996284844737,0.6859947593427259
Cox Town,12.9934858,77.6251081,0.60319011118862,0.47223876926906055,0.16176564450506667
Craig Park Layout,12.9713834,77.6158386,0.580391351177486,0.361590849443675,0.1837682022319356
Crimson Layout,12.9799554,77.7109706,0.7481587989110038,0.2038260743266483,0.20144908583829876
Cubbon Road,12.9761948,77.6115591,0.8379026880688153,0.53254731517471,0.14674503629495342
