location,lat,lon,dist_to_school_km,dist_to_hospital_km,dist_to_transit_km,location_price
Jalahalli,13.0394104,77.5197351,0.8441548182890415,0.5728013843657863,0.1224645899222091,0.06265822784810127
Mahadevpura,12.9968412,77.6928386,1.5207391917212452,0.1029311098215524,0.032080537280972,0.046947194719471945
Anekal,12.7836552,77.7461411,0.6719239127411085,0.27244649864545,0.1725955228275265,0.0345102281667978
"Hoodi Circle,",12.9919623,77.7154228,0.2180536946492282,1.279008330688752,0.0277199927462499,0.04823324476338686
Sompura,12.8778283,77.4972385,2.7172827999626743,2.805778242439059,0.06633469434453,0.039767441860465116
Ashirvad Colony,12.9398513,77.5740326,0.6719239127411085,0.27244649864545,0.1725955228275265,0.04484478935698448
Dodda Nekkundi,12.9725581,77.692858,0.763600033601192,0.2204896584641663,0.1872595431663464,0.04371599203715992
Hosur Road,12.910142,77.6270827,0.2329830559012165,0.0590782726111296,0.0840658906413644,0.06098283007696862
Battarahalli,13.015119,77.7094485,2.539528259727921,0.5130363948039008,0.1194633788993419,0.0502812421513401
Gokula Extension,13.0058913,77.5791562,0.136992239372344,0.157053355907313,0.0666708891150523,0.10505952380952381
Kamakshipalya,12.9858669,77.5331755,0.7986817255048374,0.1516436846990155,0.2916209268065705,0.0733175079127103
Sultan Palaya,12.9639079,77.5687792,0.3438611562866863,0.4036862139012211,0.0270904262857787,0.06442021803766106
Ambalipura,12.9173303,77.667161,0.6719239127411085,0.27244649864545,0.1725955228275265,0.05930930930930931
