location,lat,lon
Doddabanahalli,13.0156059,77.744183
Doddabele,12.8884898,77.4716806
Doddabidrakallu,,
Doddabommasandra,13.0544347,77.559327
Doddagubbi,13.0720681,77.6683289
Doddakallasandra,12.8857355,77.5557448
Doddakammanahalli,12.8509089,77.5986785
Doddakannelli,12.9115184,77.6934108
Doddanakundi Industrial Area 2,,
Doddanakunte,,
Doddanekundi,12.9713194,77.6964768
Doddathoguru,12.8505644,77.6466948
Dodsworth Layout,12.9707633,77.7440476
Dollar Scheme Colony,12.9181537,77.6195361
Dollars Colony,13.0413668,77.5678155
Dollars Layout,12.9040098,77.5955558
Dominic Layout,12.9150485,77.5508659
Domlur,12.9624669,77.6381958
Domlur Layout,12.9644251,77.6349677
Dommasandra,12.8777098,77.7534769
Doopanahalli,12.9674584,77.6396382
Dooravani Nagar,12.9947771,77.676929
Dr Shivarama Karantha Nagar,,
Duddanahalli,,
Duvasapalya,12.9230351,77.4959631
Dwaraka Nagar,13.1208483,77.6186871
Dwarka Nagar,13.0880852,77.4949031
"ECC Road, Whitefield,",12.9811905,77.7433061
"EPIP AREA, WHITEFIELD",,
EPIP Zone,12.9781922,77.7246451
Ejipura,12.945245,77.6274776
Electronic City,12.8487599,77.648253
"Electronic City Phase 1,",12.8496783,77.6649749
Electronic City Phase II,12.8473999,77.6724452
"Electronic city Phase 1,",12.8496783,77.6649749
"Electronic city phase 1,",12.8496783,77.6649749
Electronics City Phase 1,12.8401734,77.6595099
Escorts Colony,13.1023262,77.5859726
Esther Enclave Layout,,
Ferrar Nagar,13.1164358,77.5642942
Frazer Town,12.9975851,77.6136744
Friends Colony,12.926326,77.6171749
GB Palya,13.0226152,77.7057327
GD Layout,,
GKW Layout,13.0082322,77.5130081
GM Palaya,12.974779,77.6654084
Gandhi Bazar,12.9457868,77.5706743
Gandhi Nagar,12.9771534,77.5800313
Ganesha Block,13.0253417,77.6019556
Ganga Nagar,13.0232471,77.5883569
Ganga Nagar Extension,,
Ganganahalli,,
Garden Layout,12.9559043,77.7148447
Garebhavipalya,,
Garudachar Palya,12.9899098,77.7011259
Gattahalli,12.8685628,77.7026913
Gattigere,12.9202077,77.5255006
Gaundanapalya,,
Gaurava Nagar,,
Gayathri Nagar,13.0007574,77.5605988
Geddalahalli,13.0367681,77.5675668
Geetanjali Layout,12.9767102,77.6547468
Geleyara Balaga Layout,13.0712823,77.5061497
Gidada Konnenahalli,,
Giri Nagar,,
Gkvk Layout,13.0827075,77.6034629
Glass Factory Layout,12.8762737,77.5668962
Gnana Bharathi,12.9551213,77.5174955
Gokaula Extension,,
Gokula Extension,13.0058913,77.5791562
Gollahalli,12.821532,77.5852714
Gollarapalya Hosahalli,,
Gopal Reddy Layout,12.9690025,77.6934988
Gopalapura,12.9806131,77.5581149
Gopalkrishna Nagar,,
Goraguntepalya,13.0269315,77.54409
Gottigere,12.8565317,77.5877237
Govindapura,13.0314519,77.617598
Govindaraja Nagar Ward,12.9755632,77.5367385
Govindpura,,
Govindraja Nagar,,
Gowdanapalya,12.9082156,77.5577974
Green Domain Layout,12.9728468,77.7148942
Green Garden Layout,12.8727237,77.6451233
Green Glen Layout,12.9269039,77.6701877
Green View Layout,13.0052377,77.6492182
Green Woods Layout,13.0584954,77.6263659
Gubbalala,12.8856635,77.5416809
"Gubbi Cross, Hennur Main Road",13.0843481,77.6541567
Guddadahalli,12.9578934,77.5464445
Gulakamale,12.8037601,77.5284309
Gulimangala,12.8492767,77.7001531
Guni Agrahara,13.0980951,77.525062
Gunjur,12.9209772,77.7361016
Gunjur Palya,12.9228378,77.7188315
